Statement,Label,subject
Youth unemployment in minority communities is about 40 to 45 percent.,TRUE,"diversity,economy,jobs"
Says Paul Ryan is still endorsing Trump.,TRUE,"candidates-biography,elections,campaign-advertising"
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",FALSE,"economy,labor,states,unions,workers"
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,FALSE,"climate-change,energy,environment,government-regulation"
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,TRUE,"small-business,taxes"
Says Mark Pryor votes with Obama 93 percent of the time.,TRUE,"bipartisanship,voting-record"
We have a federal government that thinks they have the authority to regulate our toilet seats.,TRUE,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers"
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,TRUE,"city-government,population"
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",TRUE,military
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",FALSE,"health-care,pop-culture"
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",TRUE,debt
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,FALSE,"legal-issues,supreme-court"
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,TRUE,"military,voting-record"
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",FALSE,"energy,stimulus"
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,FALSE,"abortion,pundits,women"
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,FALSE,"homeland-security,terrorism"
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,TRUE,"diversity,economy,jobs"
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",FALSE,"health-care,immigration"
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,FALSE,"deficit,federal-budget"
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,FALSE,"iraq,military"
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,TRUE,patriotism
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,FALSE,"health-care,states"
"Maggie Hassan raised tuition, making it the highest in America.",FALSE,education
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,FALSE,"campaign-finance,ethics,history"
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",TRUE,jobs
"We have towns in West Texas that are out of water, that are having to truck in water.",FALSE,water
"In Georgia, women earn 82 cents for every dollar earned by men.",TRUE,"jobs,women"
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,TRUE,immigration
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",FALSE,immigration
Sen. Obama's campaign announced that he's choosing his cabinet.,FALSE,elections
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",TRUE,"elections,population"
Only 2 percent of public high schools in the country offer PE classes.,FALSE,"education,health-care"
"Said he's the only Republican candidate ""who's actually turned around a government economy.""",TRUE,job-accomplishments
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",TRUE,"education,gays-and-lesbians,kagan-nomination,military,supreme-court"
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",TRUE,"education,message-machine,taxes"
"Under Mayor Cicilline, [Providence] was a sanctuary city.",FALSE,"history,homeland-security,immigration,legal-issues,pundits"
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,FALSE,"corrections-and-updates,crime,criminal-justice,sexuality"
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",TRUE,"candidates-biography,job-accomplishments"
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",FALSE,"civil-rights,elections,terrorism"
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,FALSE,"criminal-justice,terrorism"
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,FALSE,"economy,financial-regulation,message-machine"
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",TRUE,jobs
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",FALSE,"housing,message-machine-2012"
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",TRUE,"immigration,legal-issues"
The only time in our history when the debt has been higher than this was the end of World War II.,TRUE,debt
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,TRUE,"deficit,federal-budget,health-care"
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",TRUE,"economy,abc-news-week"
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,FALSE,"kagan-nomination,supreme-court"
Says one out of three U.S. homeless men is a veteran.,FALSE,"poverty,veterans"
Says Charlie Crist supports cuts to the Medicare Advantage program.,FALSE,"health-care,medicare"
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,TRUE,energy
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,TRUE,"health-care,legal-issues,women"
"At some point in their lives, 99% of women use birth control.",TRUE,sexuality
"In the past 20 years, Egypt has made great strides in political and democratic reform.",FALSE,"foreign-policy,abc-news-week"
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,FALSE,"terrorism,transportation"
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,TRUE,federal-budget
"In Rick Perrys Texas, we import nurses ... from other countries.",TRUE,health-care
There is a federal criminal law that says its a crime to transport dentures across state lines.,TRUE,public-health
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,TRUE,"crime,criminal-justice"
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",FALSE,taxes
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,FALSE,"city-budget,city-government,taxes"
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",FALSE,immigration
I belong to the AFL-CIO.,TRUE,"candidates-biography,labor"
The insurance commissioner cant do squat about health care.,TRUE,health-care
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,TRUE,polls
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",FALSE,"foreign-policy,history,military"
Says David Jolly supports privatizing Social Security.,FALSE,social-security
Did you know US population growth is at its lowest since the Great Depression?,TRUE,"immigration,population"
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",TRUE,education
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",TRUE,guns
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,TRUE,housing
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,FALSE,guns
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",FALSE,transportation
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",TRUE,"income,message-machine-2014,poverty"
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",TRUE,"foreign-policy,history,terrorism"
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",FALSE,"foreign-policy,military,terrorism"
Sen. Obama has always had a 100 percent prochoice rating.,TRUE,abortion
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",TRUE,"candidates-biography,economy,pensions,retirement,state-finances,wealth,workers"
The (federal) debt is growing by more than $4 billion a day.,TRUE,"deficit,economy,federal-budget"
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",TRUE,jobs
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",FALSE,"education,retirement"
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,TRUE,"government-regulation,jobs,poverty,welfare"
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",TRUE,"corporations,economy,health-care,public-health,workers"
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",TRUE,"elections,taxes"
Says Obama promised unemployment would never go above 8 percent.,FALSE,jobs
The economy is creating jobs at the fastest pace since 1999.,TRUE,"economy,jobs"
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,TRUE,"foreign-policy,israel,message-machine-2012"
"In a majority of states, you can now marry freely, but can still be fired for who you love.",TRUE,"civil-rights,gays-and-lesbians,states"
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,FALSE,candidates-biography
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",FALSE,job-accomplishments
"About half of the presidents have been governors; half of them, senators.",FALSE,"congress,corrections-and-updates,elections,history,states"
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",TRUE,"economy,retirement"
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",TRUE,medicaid
Says 88 Texas constables have died in the line of duty.,TRUE,"crime,criminal-justice,history,public-safety,public-service"
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",TRUE,education
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",TRUE,"jobs,labor,unions"
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",TRUE,job-accomplishments
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,TRUE,"education,technology,women"
The Air Force wants taxpayers to fund a fantasy football league.,FALSE,"families,federal-budget,military"
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,FALSE,"islam,message-machine-2012"
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,TRUE,"crime,guns"
Some neighborhood schools are closing.,TRUE,"education,state-budget"
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,TRUE,gays-and-lesbians
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",TRUE,"state-budget,taxes"
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",FALSE,"economy,jobs"
Says the U.S. Supreme Court found that Social Security is not guaranteed.,TRUE,social-security
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,FALSE,"congress,terrorism"
Oregonians have an amazing no-cost way to fight abortion with free political donations,TRUE,"abortion,campaign-finance"
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",FALSE,"foreign-policy,immigration,terrorism"
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",FALSE,"immigration,pundits"
Newt Gingrichs immigration plan offers a new doorway to amnesty.,TRUE,immigration
Mr. Caprio is a career politician who has never worked in the private sector.,FALSE,candidates-biography
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",FALSE,"disability,labor,states,workers"
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",TRUE,"debt,federal-budget,taxes"
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,TRUE,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record"
Donald Trump has said nuclear proliferation is OK.,TRUE,nuclear
"Hillary Clinton has taken over $800,000 from lobbyists.",TRUE,ethics
Barack Obama has never even worked in business.,FALSE,candidates-biography
Says the Arizona immigration law expressly bans racial profiling.,TRUE,immigration
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,FALSE,"crime,immigration"
"On the VA: Over 300,000 veterans have died waiting for care.",FALSE,"health-care,veterans"
Were now spending 42 percent of our economy on government.,TRUE,"debates,federal-budget,government-efficiency"
Rob Cornilles supports privatizing Medicare.,FALSE,"medicare,message-machine-2012"
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",FALSE,"abortion,corrections-and-updates"
We (Democrats) have made steady progress creating jobs and improving our schools.,TRUE,"education,government-efficiency,job-accomplishments,jobs"
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,FALSE,environment
"Whether you like to admit it or not, half our general revenue goes to education.",TRUE,"education,state-budget"
Im the only one whos fought against developers draining the Everglades!,FALSE,"environment,message-machine"
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,TRUE,"crime,debt,federal-budget,social-security"
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",TRUE,"gays-and-lesbians,government-regulation,sexuality"
Climate change is directly related to the growth of terrorism.,FALSE,"climate-change,terrorism"
The jobs bill includes President Obamas tax on soup kitchens,FALSE,"economy,jobs,taxes,workers"
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,FALSE,stimulus
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,TRUE,civil-rights
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",TRUE,"city-government,crime,drugs,government-regulation,marijuana"
We have more illegal immigrants here than we did five years ago.,FALSE,immigration
Says Rick Perry wrote a letter supporting Hillarycare.,FALSE,health-care
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,FALSE,sports
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",FALSE,"health-care,pundits"
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,TRUE,immigration
Says Chris Christie vetoed a jobs package of 30 bills.,TRUE,jobs
There are already more American jobs in the solar industry than in coal mining.,TRUE,"climate-change,energy,environment,jobs"
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,TRUE,"agriculture,job-accomplishments,message-machine"
Barack Obama is in an economy thats only worsened since hes been president of the United States.,TRUE,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers"
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",TRUE,immigration
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",TRUE,"economy,job-accomplishments,jobs"
Says Thomas Eric Duncan came into the United States with an elevated temperature.,FALSE,"ebola,health-care,public-health,transportation"
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,TRUE,afghanistan
Gas prices have gone up $2 since Obama took office.,TRUE,"energy,gas-prices"
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,TRUE,"marriage,message-machine,women"
Says judges get better benefits at a lower cost than everybody else in the state.,TRUE,pensions
There are a lot of casinos across the country that have gone bankrupt.,TRUE,"bankruptcy,economy,gambling,state-budget,state-finances,states"
Small businesses create 70 percent of the jobs in America.,TRUE,"economy,jobs,small-business"
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",TRUE,"health-care,medicare"
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",TRUE,"children,crime,education"
If Texas were a country our economy would rank # 10...in the WORLD.,TRUE,"corrections-and-updates,economy,states"
There are more oil rigs in operation in the United States than the rest of the world combined.,FALSE,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure"
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",TRUE,financial-regulation
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",TRUE,social-security
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,TRUE,"elections,taxes"
The Obama administration shut down the Amber Alert program because of the government shutdown.,FALSE,"children,crime,federal-budget"
The Republicans have 2 percent of the Muslim vote.,TRUE,religion
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",TRUE,criminal-justice
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",FALSE,"energy,environment,military"
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",TRUE,"economy,jobs"
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",TRUE,"elections,immigration,pundits"
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,TRUE,"candidates-biography,congress,foreign-policy,history,terrorism"
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",FALSE,"pundits,transportation"
Not one Republican has the guts to recognize that climate change is real.,FALSE,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety"
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",TRUE,"economy,income,workers"
David Dewhurst has a record of promoting an income tax.,FALSE,taxes
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,TRUE,"environment,income"
"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",FALSE,afghanistan
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",FALSE,"crime,homeland-security,immigration"
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,FALSE,"economy,jobs"
Says Obama health reform law denies millions access to affordable insurance.,FALSE,"health-care,workers"
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,FALSE,"corporations,economy,gays-and-lesbians,state-finances,states"
Close to 30% of our federal prison population consists of illegal immigrants.,FALSE,immigration
Says Rick Scott called education not a core function of the state.,FALSE,"education,state-budget"
"The Family Research Council, according to some government agencies, is a terrorist group.",FALSE,terrorism
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",TRUE,"health-care,taxes"
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,TRUE,"elections,states"
Obamacare is the biggest tax increase in American history.,FALSE,"corrections-and-updates,federal-budget,health-care,taxes"
You ... said that Barack Obama was not ready to be commander in chief.,TRUE,candidates-biography
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",TRUE,"economy,jobs,labor,workers"
Milwaukee Mayor Tom Barrett has held the line on property taxes.,FALSE,"job-accomplishments,taxes"
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,TRUE,campaign-finance
"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",TRUE,"bipartisanship,job-accomplishments"
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,FALSE,"job-accomplishments,message-machine-2012,state-finances"
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",TRUE,"campaign-finance,environment"
On how money from a possible lease of the Ohio Turnpike would be used,TRUE,"infrastructure,transportation"
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",TRUE,"economy,federal-budget"
"The president has had 1,540 of his nominations confirmed, only four defeated.",TRUE,legal-issues
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,TRUE,"foreign-policy,religion,terrorism"
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",FALSE,"labor,public-safety"
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,TRUE,"criminal-justice,government-regulation"
"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",TRUE,"economy,history,workers"
"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",TRUE,iraq
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,FALSE,bipartisanship
One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,TRUE,taxes
"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",TRUE,"kagan-nomination,military,abc-news-week"
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",TRUE,"children,education,state-budget,state-finances"
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",TRUE,"education,federal-budget"
The Paul Ryan budget proposal would privatize Medicare.,TRUE,"federal-budget,health-care,medicare"
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,TRUE,"criminal-justice,education"
The United States imprisons more than any nation in the world.,TRUE,criminal-justice
Says Marco Rubio is the one for an open border.,FALSE,immigration
"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",TRUE,"education,federal-budget"
Says cuts to Medicare affect people who have already paid in. We paid for it.,FALSE,"federal-budget,health-care,medicare"
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,FALSE,"bipartisanship,campaign-finance,candidates-biography"
The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,TRUE,"federal-budget,health-care"
Providences port is 200 miles closer to Europe than any other Eastern port.,FALSE,"economy,infrastructure,trade,transportation"
Says you need a photo ID to purchase Sudafed in Texas.,TRUE,"elections,legal-issues"
Twenty percent of housing in Portlands Pearl District is affordable.,TRUE,"housing,infrastructure,taxes,urban"
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",TRUE,taxes
Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,TRUE,foreign-policy
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,TRUE,"jobs,unions"
"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",TRUE,federal-budget
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,FALSE,veterans
We now have driven (health care) costs down to the lowest theyve been in 50 years.,FALSE,health-care
"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",TRUE,"homeland-security,terrorism,abc-news-week"
"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",TRUE,"stimulus,taxes"
"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",TRUE,taxes
"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",TRUE,"corrections-and-updates,guns,homeland-security"
Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,FALSE,iraq
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,FALSE,"health-care,supreme-court"
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,TRUE,taxes
Warren (Buffett) still does support me.,TRUE,economy
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,TRUE,"candidates-biography,jobs"
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,FALSE,elections
"About 230,000 people that were on unemployment when I took office are not on unemployment now.",TRUE,"economy,workers"
"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",FALSE,"children,health-care,public-health,pundits"
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,FALSE,immigration
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,FALSE,"criminal-justice,health-care,legal-issues,privacy"
"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",TRUE,crime
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,FALSE,"corrections-and-updates,obama-birth-certificate"
"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",FALSE,economy
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",FALSE,"education,state-budget,taxes"
